34.227.110.80 - - [04/Apr/2026:02:52:49 +0000] "GET / HTTP/1.1" 504 176 "-" "curl/8.5.0"
34.122.147.229 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0d3shmwh5_nmn.js HTTP/1.1" 200 12903 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0q~xdtk76p3o-.js HTTP/1.1" 200 1222 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.72.176.129 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/14on8015bkqur.js HTTP/1.1" 200 9154 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0md1s0~_85w3~.js HTTP/1.1" 200 10009 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.122.147.229 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0oc1_q0_8oet-.js HTTP/1.1" 200 29401 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.122.147.229 - - [04/Apr/2026:03:00:48 +0000] "GET /_vercel/insights/script.js HTTP/1.1" 404 2779 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /login?_rsc=lquux HTTP/1.1" 200 2110 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.122.147.229 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0kkabcv.3e8x9.js HTTP/1.1" 200 9151 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0c_b748jjzq3r.js HTTP/1.1" 200 4286 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0c_b748jjzq3r.js HTTP/1.1" 200 4286 "https://app.ximples.com.br/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.122.147.229 - - [04/Apr/2026:03:00:48 +0000] "GET /_next/static/chunks/0kkabcv.3e8x9.js HTTP/1.1" 200 9144 "https://app.ximples.com.br/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.123.170.104 - - [04/Apr/2026:03:00:48 +0000] "GET /ximples-logo.png HTTP/1.1" 200 168332 "https://app.ximples.com.br/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
147.182.149.75 - - [04/Apr/2026:03:00:49 +0000] "GET /telescope/requests HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:50 +0000] "POST /php-cgi/php-cgi.exe?%ADd+cgi.force_redirect%3D0+%ADd+disable_functions%3D\x22\x22+%ADd+allow_url_include%3D1+%ADd+auto_prepend_file%3Dphp://input HTTP/1.1" 404 3818 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:51 +0000] "GET /info.php HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:53 +0000] "POST / HTTP/1.1" 404 24 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:54 +0000] "GET /nodesync?cmd=hostname HTTP/1.1" 404 2779 "-" "LeakIX infection test"
147.182.149.75 - - [04/Apr/2026:03:00:55 +0000] "GET /exec?cmd=hostname HTTP/1.1" 404 2779 "-" "LeakIX infection test"
147.182.149.75 - - [04/Apr/2026:03:00:55 +0000] "POST / HTTP/1.1" 404 24 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:56 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
